Мастер и Маргарита | Михаил Булгаков | Fiction | 1967 | 978-5-699-02641-9 | 480 | ImagePath | Мистическая история о визите дьявола в Москву 1930-х, переплетенная с вечной любовью и библейскими сценами. | 450
Краткая история времени | Стивен Хокинг | Science | 1988 | 978-5-389-07134-8 | 256 | ImagePath | Популярное изложение космологии: от Большого взрыва до черных дыр и теории струн. | 550
1984 | Джордж Оруэлл | Fiction | 1949 | 978-5-17-080115-2 | 320 | ImagePath | Антиутопический роман о тоталитарном обществе под властью Большого Брата. | 380
Сапиенс: Краткая история человечества | Юваль Ной Харари | History | 2011 | 978-5-17-136497-7 | 520 | ImagePath | Масштабный взгляд на историю вида Homo sapiens от каменного века до современности. | 890
Стив Джобс | Уолтер Айзексон | Biography | 2011 | 978-5-389-02364-7 | 704 | ImagePath | Полная биография основателя Apple, основанная на интервью с ним самим и его близкими. | 1200
Властелин Колец: Братство Кольца | Дж. Р. Р. Толкин | Fantasy | 1954 | 978-5-17-080119-0 | 448 | ImagePath | Первая часть эпической трилогии о хоббите Фродо, несущем Кольцо Всевластья в Мордор. | 670
Убийство в «Восточном экспрессе» | Агата Кристи | Mystery Detective | 1934 | 978-5-699-80603-0 | 320 | ImagePath | Знаменитый детектив Эркюль Пуаро расследует убийство в застрявшем в снегу поезде. | 350
Гордость и предубеждение | Джейн Остин | Romance | 1813 | 978-5-389-06224-7 | 416 | ImagePath | Классическая история любви и социальных отношений между Элизабет Беннет и мистером Дарси. | 290
Код да Винчи | Дэн Браун | Thriller | 2003 | 978-5-699-13857-5 | 544 | ImagePath | Захватывающий триллер о профессоре символогии, расследующем убийство в Лувре и тайну Святого Грааля. | 480
Оно | Стивен Кинг | Horror | 1986 | 978-5-17-090760-0 | 1248 | ImagePath | Жуткая история о древнем зле, принимающем облик клоуна Пеннивайза и преследующем детей. | 950
Атомные привычки | Джеймс Клир | NonFiction | 2018 | 978-5-00169-044-5 | 320 | ImagePath | Практическое руководство по формированию хороших привычек и избавлению от плохих с помощью малых изменений. | 680
Песнь льда и пламени: Игра престолов | Джордж Р. Р. Мартин | Fantasy | 1996 | 978-5-17-080142-8 | 800 | ImagePath | Первый роман эпической саги о борьбе за Железный Трон в вымышленном мире Вестероса. | 870
Три товарища | Эрих Мария Ремарк | Fiction | 1936 | 978-5-17-112861-2 | 480 | ImagePath | Пронзительная история дружбы и любви трех фронтовых друзей в Германии между двумя войнами. | 420
Автостопом по галактике | Дуглас Адамс | Fiction | 1979 | 978-5-17-080193-0 | 288 | ImagePath | Юмористическая научно-фантастическая история о невольном путешественнике Артуре Денте и его друзьях. | 510
Маленькие женщины | Луиза Мэй Олкотт | Fiction | 1868 | 978-5-389-05145-6 | 432 | ImagePath | Трогательная история взросления четырех сестер из семьи Марч в период Гражданской войны в США. | 370
Шерлок Холмс: Собака Баскервилей | Артур Конан Дойл | Mystery Detective | 1902 | 978-5-17-105461-4 | 320 | ImagePath | Легендарный детектив расследует дело о проклятой собаке-призраке, терроризирующей семью Баскервилей. | 460
Анна Каренина | Лев Толстой | Fiction | 1877 | 978-5-17-090123-3 | 864 | ImagePath | Трагическая история любви и долга в высшем обществе Российской империи. | 520
Дюна | Фрэнк Герберт | Science Fiction | 1965 | 978-5-17-087893-1 | 704 | ImagePath | Эпическая сага о пустынной планете Арракис, меланже и судьбе Пола Атрейдеса. | 750
Преступление и наказание | Фёдор Достоевский | Fiction | 1866 | 978-5-17-080987-6 | 672 | ImagePath | Философский роман о студенте Раскольникове, совершившем убийство, и его муках совести. | 490
Портрет Дориана Грея | Оскар Уайльд | Fiction | 1890 | 978-5-389-07412-7 | 320 | ImagePath | История о красивом юноше, чей портрет стареет вместо него, в то время как он предается порокам. | 410
Гарри Поттер и философский камень | Дж. К. Роулинг | Fantasy | 1997 | 978-5-389-07410-3 | 432 | ImagePath | Первая книга о юном волшебнике Гарри Поттере и его первом годе в школе Хогвартс. | 650
Сияние | Стивен Кинг | Horror | 1977 | 978-5-17-091760-0 | 640 | ImagePath | Метафизический ужас о семье смотрителя, зимующей в пустынном отеле, где оживают тени прошлого. | 580
Скотный двор | Джордж Оруэлл | Fiction | 1945 | 978-5-17-080116-9 | 144 | ImagePath | Сатирическая притча о животных, свергнувших хозяев фермы, и о последующей коррупции власти. | 330
Тень ветра | Карлос Руис Сафон | Mystery | 2001 | 978-5-699-80605-4 | 576 | ImagePath | Загадочная история о книге и авторе, исчезнувшем в огне, в послевоенной Барселоне. | 720
Мы | Евгений Замятин | Fiction | 1924 | 978-5-17-080118-3 | 288 | ImagePath | Роман-антиутопия о тоталитарном Едином Государстве, где у людей нет имен, только номера. | 390
Братья Карамазовы | Фёдор Достоевский | Fiction | 1880 | 978-5-17-090125-7 | 1024 | ImagePath | Философская драма об отцеубийстве, вере, сомнении и любви в одной семье. | 630
Горе от ума | Александр Грибоедов | Drama | 1825 | 978-5-17-080122-0 | 192 | ImagePath | Классическая комедия в стихах о конфликте умного, но дерзкого Чацкого с фамусовским обществом. | 280
Тихий Дон | Михаил Шолохов | Fiction | 1940 | 978-5-17-090128-8 | 1504 | ImagePath | Эпопея о жизни донского казачества в переломную эпоху революций и Гражданской войны. | 1100
Понедельник начинается в субботу | Аркадий и Борис Стругацкие | Science Fiction | 1965 | 978-5-699-02643-3 | 352 | ImagePath | Ироничная фантастика о работниках НИИЧАВО, где занимаются магией и волшебством как наукой. | 540
Война и мир | Лев Толстой | Fiction | 1869 | 978-5-17-090124-0 | 1472 | ImagePath | Монументальная эпопея, охватывающая судьбы русских аристократов на фоне войн с Наполеоном. | 890
